issue_date,target_ts,y_true,y_tso,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90
2025-01-01,2024-12-31 23:00:00+00:00,12225.0,11470.25,10519.880187988281,11293.846069335938,11897.644165039062,10947.758850097656,11810.76644897461,12699.1748046875
2025-01-01,2024-12-31 23:15:00+00:00,12004.75,11307.5,10276.460815429688,11102.407653808594,11714.607940673828,10824.032806396484,11682.750030517578,12536.4248046875
2025-01-01,2024-12-31 23:30:00+00:00,12012.0,11175.25,10075.511840820312,10919.9794921875,11539.843322753906,10705.616180419922,11532.966888427734,12404.1748046875
2025-01-01,2024-12-31 23:45:00+00:00,11979.75,11015.75,9843.669067382812,10688.639556884766,11360.842498779297,10509.959503173828,11410.438568115234,12250.513427734375
2025-01-01,2025-01-01 00:00:00+00:00,11916.75,10825.5,9546.813232421875,10392.023223876953,11197.850830078125,10420.059967041016,11261.926818847656,12069.810913085938
2025-01-01,2025-01-01 00:15:00+00:00,11847.5,10726.25,9372.878051757812,10207.58447265625,11119.725280761719,10283.158599853516,11211.985107421875,11962.161987304688
2025-01-01,2025-01-01 00:30:00+00:00,11818.75,10636.25,9251.79296875,10058.736328125,11036.909729003906,10193.158599853516,11099.570373535156,11859.647216796875
2025-01-01,2025-01-01 00:45:00+00:00,11745.0,10515.75,9127.004028320312,9903.749694824219,10913.659454345703,10145.625946044922,10997.688781738281,11751.661987304688
2025-01-01,2025-01-01 01:00:00+00:00,11672.0,10457.5,9067.503295898438,9821.495788574219,10851.772277832031,10072.63754272461,10916.300231933594,11671.470703125
2025-01-01,2025-01-01 01:15:00+00:00,11577.5,10366.0,8989.671264648438,9727.25341796875,10742.504119873047,9981.13754272461,10833.146789550781,11597.468627929688
2025-01-01,2025-01-01 01:30:00+00:00,11520.75,10356.25,8996.46435546875,9724.270690917969,10713.465057373047,9943.987091064453,10804.778381347656,11570.220703125
2025-01-01,2025-01-01 01:45:00+00:00,11473.5,10338.0,8994.432861328125,9720.181823730469,10677.638854980469,9978.85659790039,10806.734436035156,11569.468627929688
2025-01-01,2025-01-01 02:00:00+00:00,11332.25,10342.75,8997.0703125,9744.344055175781,10674.639068603516,10007.767120361328,10825.945587158203,11525.1123046875
2025-01-01,2025-01-01 02:15:00+00:00,11327.75,10337.75,9001.655029296875,9765.260192871094,10659.801055908203,10002.767120361328,10776.888458251953,11516.647827148438
2025-01-01,2025-01-01 02:30:00+00:00,11204.5,10270.5,8947.158447265625,9731.442687988281,10590.923217773438,9897.96566772461,10821.003051757812,11482.525634765625
2025-01-01,2025-01-01 02:45:00+00:00,11187.25,10267.5,8959.463012695312,9768.908569335938,10594.570190429688,9833.751922607422,10794.740234375,11479.525634765625
2025-01-01,2025-01-01 03:00:00+00:00,11040.5,10271.0,8989.456420898438,9816.585083007812,10620.653686523438,9845.237091064453,10859.990051269531,11537.082153320312
2025-01-01,2025-01-01 03:15:00+00:00,11059.0,10213.75,8961.509765625,9827.059875488281,10585.31005859375,9698.1025390625,10757.763854980469,11480.858032226562
2025-01-01,2025-01-01 03:30:00+00:00,11001.25,10264.75,9043.38427734375,9948.335968017578,10664.547607421875,9749.1025390625,10788.304931640625,11397.847778320312
2025-01-01,2025-01-01 03:45:00+00:00,10947.0,10336.5,9145.671142578125,10088.018463134766,10769.058837890625,9817.545837402344,10666.111297607422,11176.778991699219
2025-01-01,2025-01-01 04:00:00+00:00,11104.0,10420.75,9249.308349609375,10233.12759399414,10893.736053466797,9879.004455566406,10780.962768554688,11343.185302734375
2025-01-01,2025-01-01 04:15:00+00:00,11064.75,10490.25,9346.440307617188,10356.64907836914,10995.81332397461,9960.636962890625,10747.502197265625,11322.662475585938
2025-01-01,2025-01-01 04:30:00+00:00,11054.75,10329.0,9212.50341796875,10242.320449829102,10863.236389160156,9782.955078125,10739.006958007812,11253.878051757812
2025-01-01,2025-01-01 04:45:00+00:00,11037.5,10377.25,9285.771362304688,10330.130661010742,10936.035827636719,9862.415649414062,10588.032409667969,11229.572875976562
2025-01-01,2025-01-01 05:00:00+00:00,10959.25,10347.75,9270.105102539062,10334.575681686401,10928.920104980469,9775.271606445312,10399.281196594238,11110.987487792969
2025-01-01,2025-01-01 05:15:00+00:00,10899.75,10398.25,9339.356689453125,10413.419647216797,10993.061340332031,9765.548522949219,10399.752606511116,11113.544555664062
