issue_date,target_ts,da_actual,id_actual,da_naive,id_naive,da_p10,da_p50,da_p90,id_p10,id_p50,id_p90
2026-03-01,2026-02-28 23:00:00+00:00,47.65,49.75,82.58,82.58,8.206999778747559,34.06053924560547,67.16139221191406,7.772202491760254,38.364986419677734,74.85420989990234
2026-03-01,2026-02-28 23:15:00+00:00,48.89,50.25,80.7,80.7,8.394082069396973,33.78251266479492,63.670249938964844,10.303716659545898,35.45952224731445,74.85420989990234
2026-03-01,2026-02-28 23:30:00+00:00,46.03,47.24,79.45,79.45,9.315045356750488,34.464195251464844,63.670249938964844,9.064992904663086,36.48212814331055,74.85420989990234
2026-03-01,2026-02-28 23:45:00+00:00,48.02,48.02,77.35,77.35,5.0648064613342285,33.85286331176758,63.670249938964844,7.754018783569336,35.45952224731445,74.85420989990234
2026-03-01,2026-03-01 00:00:00+00:00,49.0,49.0,78.71,78.71,10.245015144348145,33.601741790771484,64.23861694335938,10.073114395141602,35.45952224731445,74.85420989990234
2026-03-01,2026-03-01 00:15:00+00:00,51.99,51.99,78.0,78.0,10.30896282196045,34.205631256103516,63.670249938964844,9.753692626953125,35.45952224731445,74.85420989990234
2026-03-01,2026-03-01 00:30:00+00:00,52.77,52.77,75.51,75.51,8.877959251403809,39.96364212036133,65.47029113769531,10.672054290771484,38.699520111083984,74.85420989990234
2026-03-01,2026-03-01 00:45:00+00:00,52.44,52.44,73.0,73.07,10.489158630371094,39.86648178100586,65.47029113769531,10.513750076293945,39.284427642822266,75.98623657226562
2026-03-01,2026-03-01 01:00:00+00:00,51.69,51.69,78.51,78.51,13.681547164916992,41.66823196411133,65.47029113769531,12.606383323669434,40.9864387512207,75.98623657226562
2026-03-01,2026-03-01 01:15:00+00:00,52.49,52.49,75.08,75.12,15.361692428588867,47.79555892944336,68.59027099609375,14.10898208618164,44.350982666015625,77.08187866210938
2026-03-01,2026-03-01 01:30:00+00:00,55.51,55.51,73.17,73.2,15.500919342041016,49.291378021240234,70.13990783691406,14.20214557647705,44.561988830566406,77.08187866210938
2026-03-01,2026-03-01 01:45:00+00:00,57.3,57.3,72.15,72.15,19.031959533691406,54.0045051574707,71.0066146850586,17.663389205932617,48.908958435058594,79.288818359375
2026-03-01,2026-03-01 02:00:00+00:00,53.34,53.34,74.4,74.41,20.6524715423584,55.269256591796875,72.0297622680664,18.63574981689453,48.59480285644531,80.01521301269531
2026-03-01,2026-03-01 02:15:00+00:00,54.58,54.58,73.01,73.01,27.954853057861328,58.95246124267578,73.52391815185547,21.718381881713867,48.59480285644531,80.01521301269531
2026-03-01,2026-03-01 02:30:00+00:00,58.1,58.1,72.19,72.19,27.880746841430664,61.76488494873047,77.67982482910156,23.479421615600586,53.14312744140625,81.6495132446289
2026-03-01,2026-03-01 02:45:00+00:00,62.27,62.27,67.5,70.91,26.473058700561523,64.62610626220703,77.96558380126953,21.793676376342773,55.53410720825195,84.41084289550781
2026-03-01,2026-03-01 03:00:00+00:00,53.08,53.08,72.27,72.3,41.921390533447266,68.51219940185547,80.7030029296875,24.90053939819336,57.890594482421875,85.98585510253906
2026-03-01,2026-03-01 03:15:00+00:00,57.57,57.57,72.32,72.37,44.11851119995117,70.60070037841797,81.693603515625,26.6634578704834,61.660736083984375,86.8239517211914
2026-03-01,2026-03-01 03:30:00+00:00,64.38,64.38,71.45,71.5,43.09836959838867,71.3447036743164,81.52015686035156,31.98116111755371,65.20478820800781,87.22075653076172
2026-03-01,2026-03-01 03:45:00+00:00,69.31,69.31,71.53,71.6,47.51572799682617,73.51337432861328,82.61783599853516,33.41097640991211,68.2414321899414,89.17445373535156
2026-03-01,2026-03-01 04:00:00+00:00,64.0,59.09,71.86,72.42,49.22597122192383,73.57513427734375,82.44392395019531,41.22233581542969,70.70661163330078,89.17445373535156
2026-03-01,2026-03-01 04:15:00+00:00,64.3,59.78,70.65,71.53,55.4746208190918,75.02594757080078,83.63694763183594,43.34079360961914,71.1859359741211,89.17445373535156
2026-03-01,2026-03-01 04:30:00+00:00,65.13,61.19,72.32,72.86,64.17920684814453,76.53260040283203,88.65886688232422,39.85239791870117,70.9629898071289,90.8975601196289
2026-03-01,2026-03-01 04:45:00+00:00,67.29,62.49,74.17,74.67,70.85322570800781,80.49404907226562,98.48066711425781,43.60239028930664,74.3223648071289,96.02554321289062
2026-03-01,2026-03-01 05:00:00+00:00,60.27,57.03,69.52,71.37,56.44283676147461,75.4334716796875,90.25422668457031,46.60459899902344,74.7276382446289,93.8372573852539
2026-03-01,2026-03-01 05:15:00+00:00,66.51,66.4,72.25,73.1,68.8639907836914,79.47865295410156,99.53741455078125,51.820091247558594,74.4859619140625,96.9385757446289
2026-03-01,2026-03-01 05:30:00+00:00,68.75,68.75,74.31,74.39,63.621437072753906,81.29953002929688,102.48622131347656,52.68910217285156,76.15441131591797,101.36731719970703
2026-03-01,2026-03-01 05:45:00+00:00,68.5,68.5,75.61,75.61,78.93145751953125,84.72176361083984,102.58330535888672,56.470001220703125,80.61552429199219,101.7649154663086
2026-03-01,2026-03-01 06:00:00+00:00,68.47,68.47,82.7,82.87,73.90849304199219,82.77278137207031,103.53645324707031,59.650787353515625,78.44108581542969,104.0119857788086
2026-03-01,2026-03-01 06:15:00+00:00,68.79,68.79,83.01,83.01,67.830810546875,84.9060287475586,103.86857604980469,60.803955078125,81.4710464477539,104.93343353271484
2026-03-01,2026-03-01 06:30:00+00:00,67.35,67.35,75.75,75.98,77.83198547363281,85.4632339477539,103.28164672851562,59.574432373046875,82.52381896972656,102.89573669433594
2026-03-01,2026-03-01 06:45:00+00:00,55.38,55.38,63.7,69.6,77.81134033203125,83.9781494140625,98.40221405029297,52.81428527832031,82.6981201171875,102.5014419555664
2026-03-01,2026-03-01 07:00:00+00:00,66.89,66.89,82.97,85.36,66.29298400878906,84.6272201538086,99.988525390625,57.76704025268555,81.1744384765625,102.711669921875
2026-03-01,2026-03-01 07:15:00+00:00,56.24,56.24,67.78,75.84,63.069156646728516,79.32528686523438,95.12300109863281,55.94879150390625,75.64976501464844,99.44790649414062
2026-03-01,2026-03-01 07:30:00+00:00,45.77,45.77,48.41,76.13,58.69698715209961,74.4754867553711,93.46145629882812,56.78876495361328,72.94610595703125,99.68937683105469
2026-03-01,2026-03-01 07:45:00+00:00,41.24,41.24,29.3,76.05,56.46156311035156,72.01791381835938,90.66735076904297,52.86375045776367,73.40562438964844,95.63297271728516
2026-03-01,2026-03-01 08:00:00+00:00,45.87,45.87,47.41,83.27,59.53120422363281,75.7881088256836,92.13101196289062,48.78669738769531,72.345947265625,93.80416870117188
2026-03-01,2026-03-01 08:15:00+00:00,24.16,24.17,20.73,82.4,49.87126159667969,68.99784088134766,82.1188735961914,48.63436508178711,68.13800048828125,89.17445373535156
2026-03-01,2026-03-01 08:30:00+00:00,9.79,9.79,3.04,82.45,42.520957946777344,65.85842895507812,80.7314453125,39.005672454833984,63.911781311035156,87.22075653076172
2026-03-01,2026-03-01 08:45:00+00:00,0.1,5.61,0.01,81.15,37.00477600097656,58.67662048339844,77.92748260498047,28.42413330078125,56.46174621582031,84.65101623535156
2026-03-01,2026-03-01 09:00:00+00:00,0.87,17.29,0.0,86.33,10.54030990600586,51.7043571472168,75.04448699951172,24.320968627929688,51.32427978515625,81.6495132446289
2026-03-01,2026-03-01 09:15:00+00:00,0.0,17.27,0.0,84.34,8.779001235961914,45.19663619995117,70.88858032226562,15.502514839172363,46.129425048828125,80.01521301269531
2026-03-01,2026-03-01 09:30:00+00:00,-0.06,13.03,0.0,84.23,3.4524106979370117,37.45278549194336,68.97712707519531,11.797259330749512,40.58491134643555,77.08187866210938
2026-03-01,2026-03-01 09:45:00+00:00,-0.81,10.0,-0.04,84.14,-5.096564769744873,32.13216781616211,68.8317642211914,6.453372478485107,37.8911018371582,77.08187866210938
2026-03-01,2026-03-01 10:00:00+00:00,0.01,12.26,0.0,82.49,-6.202165126800537,27.868921279907227,64.16214752197266,5.108569145202637,33.77982711791992,75.98623657226562
2026-03-01,2026-03-01 10:15:00+00:00,0.0,12.23,-0.01,82.41,-7.685824394226074,25.153810501098633,64.16214752197266,5.1301655769348145,33.77982711791992,75.98623657226562
2026-03-01,2026-03-01 10:30:00+00:00,-0.01,10.0,-0.02,82.26,-8.393545150756836,21.329275131225586,64.30809020996094,4.249542713165283,31.067062377929688,74.85420989990234
2026-03-01,2026-03-01 10:45:00+00:00,-0.1,9.1,-0.08,82.11,-8.963069915771484,16.461374282836914,62.04511260986328,1.8991397619247437,30.296323776245117,74.85420989990234
2026-03-01,2026-03-01 11:00:00+00:00,-0.1,10.31,-0.02,79.62,-9.009946823120117,17.66731834411621,61.73866271972656,0.8375172019004822,30.221967697143555,74.85420989990234
2026-03-01,2026-03-01 11:15:00+00:00,-0.11,10.06,-0.06,74.22,-8.08867073059082,11.298340797424316,61.73866271972656,1.12311589717865,30.037931442260742,74.85420989990234
2026-03-01,2026-03-01 11:30:00+00:00,-0.25,10.0,-0.28,68.32,-10.206216812133789,6.193585395812988,57.568756103515625,1.2657955884933472,26.258913040161133,74.85420989990234
2026-03-01,2026-03-01 11:45:00+00:00,-1.0,10.0,-0.65,64.46,-9.77459716796875,8.941094398498535,57.568756103515625,-0.1517592966556549,26.258913040161133,74.85420989990234
2026-03-01,2026-03-01 12:00:00+00:00,-1.01,10.0,-0.27,59.57,-7.647591590881348,7.181295871734619,56.681175231933594,1.301755666732788,26.308298110961914,74.85420989990234
2026-03-01,2026-03-01 12:15:00+00:00,-1.03,10.0,-0.48,58.69,-7.865689277648926,4.19324254989624,56.681175231933594,-0.7356685996055603,26.258913040161133,74.85420989990234
2026-03-01,2026-03-01 12:30:00+00:00,-1.0,10.05,-0.09,57.83,-13.093965530395508,3.826551675796509,56.681175231933594,-1.2694977521896362,26.258913040161133,74.85420989990234
2026-03-01,2026-03-01 12:45:00+00:00,-0.11,11.5,-0.05,57.29,-8.978612899780273,4.637819290161133,57.9881591796875,-0.824134886264801,26.668148040771484,74.85420989990234
2026-03-01,2026-03-01 13:00:00+00:00,-1.0,9.07,-0.03,56.87,-9.585620880126953,10.837384223937988,61.73866271972656,-0.05041582137346268,30.221967697143555,74.85420989990234
2026-03-01,2026-03-01 13:15:00+00:00,-0.06,10.41,-0.01,56.86,-9.267250061035156,11.272911071777344,64.16214752197266,1.4129148721694946,31.941743850708008,74.85420989990234
2026-03-01,2026-03-01 13:30:00+00:00,0.0,17.2,0.0,57.67,-7.045523643493652,13.023575782775879,64.16214752197266,2.488769054412842,32.24115753173828,75.98623657226562
2026-03-01,2026-03-01 13:45:00+00:00,1.04,17.29,0.01,50.24,-2.7179670333862305,22.746110916137695,68.8317642211914,6.9408111572265625,36.39552307128906,77.08187866210938
2026-03-01,2026-03-01 14:00:00+00:00,0.0,9.88,0.0,54.12,2.1895198822021484,32.198055267333984,69.69102478027344,16.294309616088867,46.850120544433594,80.01521301269531
2026-03-01,2026-03-01 14:15:00+00:00,0.12,15.74,0.07,52.4,7.566336631774902,42.28445053100586,74.88290405273438,21.222274780273438,51.09783172607422,81.05049896240234
2026-03-01,2026-03-01 14:30:00+00:00,33.61,34.79,10.05,49.61,29.488834381103516,53.19797897338867,81.87277221679688,28.62590789794922,59.886199951171875,86.22493743896484
2026-03-01,2026-03-01 14:45:00+00:00,70.08,70.08,49.33,58.0,50.636924743652344,65.72550201416016,86.96804809570312,42.33396530151367,67.97976684570312,90.58872985839844
2026-03-01,2026-03-01 15:00:00+00:00,37.31,37.31,33.96,58.0,59.50288391113281,70.35198974609375,91.89291381835938,47.17879867553711,71.57920837402344,95.39149475097656
