issue_date,target_ts,y_true,y_model,y_tso
2025-01-01,2025-01-01 15:30:00+00:00,13680.25,13246.221618652344,12880.5
2025-01-01,2025-01-01 15:45:00+00:00,13987.75,13363.403930664062,13001.75
2025-01-01,2025-01-01 16:00:00+00:00,13906.25,13592.084777832031,13172.25
2025-01-01,2025-01-01 16:15:00+00:00,14015.25,13687.253784179688,13295.0
2025-01-01,2025-01-01 16:30:00+00:00,14149.0,13842.718627929688,13488.75
2025-01-01,2025-01-01 16:45:00+00:00,14237.75,13912.340393066406,13543.5
2025-01-01,2025-01-01 17:00:00+00:00,14258.5,13970.260223388672,13681.25
2025-01-01,2025-01-01 17:15:00+00:00,14150.75,14010.90203857422,13728.75
2025-01-01,2025-01-01 17:30:00+00:00,14098.25,13982.11376953125,13704.5
2025-01-01,2025-01-01 17:45:00+00:00,13960.25,13883.49935913086,13659.5
2025-01-01,2025-01-01 18:00:00+00:00,13996.25,14005.265625,13730.75
2025-01-01,2025-01-01 18:15:00+00:00,13851.0,13798.80047607422,13492.5
2025-01-01,2025-01-01 18:30:00+00:00,13807.0,13741.663513183594,13403.5
2025-01-01,2025-01-01 18:45:00+00:00,13638.25,13646.09765625,13286.0
2025-01-01,2025-01-01 19:00:00+00:00,13438.5,13352.306274414062,13136.5
2025-01-01,2025-01-01 19:15:00+00:00,13372.75,13155.151885986328,12937.5
2025-01-01,2025-01-01 19:30:00+00:00,13214.75,12990.060028076172,12755.0
2025-01-01,2025-01-01 19:45:00+00:00,13018.75,12908.351196289062,12647.75
2025-01-01,2025-01-01 20:00:00+00:00,13008.75,12782.284637451172,12529.5
2025-01-01,2025-01-01 20:15:00+00:00,12892.5,12734.264221191406,12454.5
2025-01-01,2025-01-01 20:30:00+00:00,12713.5,12653.17059326172,12366.25
2025-01-01,2025-01-01 20:45:00+00:00,12566.0,12635.197235107422,12317.0
2025-01-01,2025-01-01 21:00:00+00:00,12486.25,12853.841003417969,12566.0
2025-01-01,2025-01-01 21:15:00+00:00,12422.25,12744.830078125,12479.0
2025-01-01,2025-01-01 21:30:00+00:00,12201.75,12668.397583007812,12425.25
2025-01-01,2025-01-01 21:45:00+00:00,11971.75,12556.877044677734,12288.25
2025-01-01,2025-01-01 22:00:00+00:00,11890.5,12365.363739013672,12101.75
2025-01-01,2025-01-01 22:15:00+00:00,11813.75,12242.642181396484,11963.75
2025-01-01,2025-01-01 22:30:00+00:00,11478.5,12087.547470092772,11839.0
2025-01-01,2025-01-01 22:45:00+00:00,11280.5,11894.511734008787,11682.5
2025-01-08,2025-01-07 23:00:00+00:00,13385.5,12869.134857177734,12380.75
2025-01-08,2025-01-07 23:15:00+00:00,13335.75,12730.134857177734,12241.75
2025-01-08,2025-01-07 23:30:00+00:00,13283.5,12572.52603149414,12106.25
2025-01-08,2025-01-07 23:45:00+00:00,13158.25,12474.713684082031,12022.0
2025-01-08,2025-01-08 00:00:00+00:00,12889.75,12331.753967285156,11884.0
2025-01-08,2025-01-08 00:15:00+00:00,12829.75,12172.17465209961,11821.5
2025-01-08,2025-01-08 00:30:00+00:00,12752.75,12203.143737792969,11756.75
2025-01-08,2025-01-08 00:45:00+00:00,12669.25,12159.845520019531,11697.25
2025-01-08,2025-01-08 01:00:00+00:00,12506.25,12152.145874023438,11632.25
2025-01-08,2025-01-08 01:15:00+00:00,12561.75,12103.1943359375,11573.0
2025-01-08,2025-01-08 01:30:00+00:00,12593.75,12119.426879882812,11591.25
2025-01-08,2025-01-08 01:45:00+00:00,12577.5,12151.03680419922,11619.25
2025-01-08,2025-01-08 02:00:00+00:00,12663.25,12216.485229492188,11663.75
2025-01-08,2025-01-08 02:15:00+00:00,12644.25,12246.56787109375,11657.25
2025-01-08,2025-01-08 02:30:00+00:00,12680.25,12264.27685546875,11694.25
2025-01-08,2025-01-08 02:45:00+00:00,12711.75,12307.652099609377,11768.75
2025-01-08,2025-01-08 03:00:00+00:00,12943.75,12442.267791748049,11969.5
2025-01-08,2025-01-08 03:15:00+00:00,12868.25,12549.66241455078,12062.5
2025-01-08,2025-01-08 03:30:00+00:00,12958.25,12656.924560546877,12203.75
2025-01-08,2025-01-08 03:45:00+00:00,13093.0,12781.408569335938,12358.25
2025-01-08,2025-01-08 04:00:00+00:00,13539.25,13052.570556640623,12609.75
2025-01-08,2025-01-08 04:15:00+00:00,13706.0,13203.653564453123,12780.75
2025-01-08,2025-01-08 04:30:00+00:00,13974.5,13326.362854003906,12853.5
2025-01-08,2025-01-08 04:45:00+00:00,14380.25,13693.449645996094,13172.25
2025-01-08,2025-01-08 05:00:00+00:00,15143.75,14287.829528808594,13720.75
2025-01-08,2025-01-08 05:15:00+00:00,15711.5,14641.77374267578,14102.5
2025-01-08,2025-01-08 05:30:00+00:00,16147.5,15036.878356933594,14485.75
2025-01-08,2025-01-08 05:45:00+00:00,16471.25,15175.16180419922,14720.25
2025-01-08,2025-01-08 06:00:00+00:00,16966.0,15369.47119140625,15011.25
2025-01-08,2025-01-08 06:15:00+00:00,17223.0,15573.3251953125,15202.25
2025-01-08,2025-01-08 06:30:00+00:00,17361.0,15830.817993164062,15446.0
2025-01-08,2025-01-08 06:45:00+00:00,17647.75,15943.264129638672,15546.0
2025-01-08,2025-01-08 07:00:00+00:00,17865.0,16138.81707763672,15742.5
2025-01-08,2025-01-08 07:15:00+00:00,18088.75,16385.298065185547,15994.75
2025-01-08,2025-01-08 07:30:00+00:00,18192.0,16518.210083007812,16124.0
2025-01-08,2025-01-08 07:45:00+00:00,18217.25,16585.62176513672,16202.75
2025-01-08,2025-01-08 08:00:00+00:00,18125.5,16664.325744628906,16326.75
2025-01-08,2025-01-08 08:15:00+00:00,18171.25,16775.255004882812,16421.25
2025-01-08,2025-01-08 08:30:00+00:00,18184.0,16947.717651367188,16586.75
2025-01-08,2025-01-08 08:45:00+00:00,18205.25,16959.217651367188,16598.25
2025-01-08,2025-01-08 09:00:00+00:00,18107.75,16971.28692626953,16660.75
2025-01-08,2025-01-08 09:15:00+00:00,18142.5,17004.72784423828,16693.25
2025-01-08,2025-01-08 09:30:00+00:00,18237.5,17086.584533691406,16782.5
2025-01-08,2025-01-08 09:45:00+00:00,18291.25,17155.92837524414,16866.75
2025-01-08,2025-01-08 10:00:00+00:00,17908.75,17320.76968383789,16991.0
2025-01-08,2025-01-08 10:15:00+00:00,17928.25,17225.546981811523,17006.25
2025-01-08,2025-01-08 10:30:00+00:00,17962.25,17243.450927734375,17043.0
2025-01-08,2025-01-08 10:45:00+00:00,17972.0,17270.112045288086,17063.75
2025-01-08,2025-01-08 11:00:00+00:00,17991.75,17210.642654418945,16981.25
2025-01-08,2025-01-08 11:15:00+00:00,17907.25,17248.702667236328,16992.25
2025-01-08,2025-01-08 11:30:00+00:00,17859.0,17173.220428466797,16916.75
2025-01-08,2025-01-08 11:45:00+00:00,17888.5,17211.80551147461,16905.0
2025-01-08,2025-01-08 12:00:00+00:00,18162.5,17259.93197631836,16900.5
2025-01-08,2025-01-08 12:15:00+00:00,18062.25,17168.089416503906,16803.25
2025-01-08,2025-01-08 12:30:00+00:00,17989.0,17229.47186279297,16827.25
2025-01-08,2025-01-08 12:45:00+00:00,17896.25,16911.04135131836,16530.75
2025-01-08,2025-01-08 13:00:00+00:00,17889.75,16867.219604492188,16528.0
2025-01-08,2025-01-08 13:15:00+00:00,17720.5,16706.701721191406,16374.5
2025-01-08,2025-01-08 13:30:00+00:00,17686.0,16729.095458984375,16348.5
2025-01-08,2025-01-08 13:45:00+00:00,17604.5,16665.84017944336,16311.0
2025-01-08,2025-01-08 14:00:00+00:00,17644.5,16695.743194580078,16308.75
2025-01-08,2025-01-08 14:15:00+00:00,17595.5,16444.330505371094,16108.25
2025-01-08,2025-01-08 14:30:00+00:00,17549.25,16613.323303222656,16176.25
2025-01-08,2025-01-08 14:45:00+00:00,17601.75,16491.0859375,16072.0
2025-01-08,2025-01-08 15:00:00+00:00,17825.5,16278.580657958984,16050.5
2025-01-08,2025-01-08 15:15:00+00:00,17899.75,16335.463012695312,16076.25
2025-01-08,2025-01-08 15:30:00+00:00,18021.5,16473.424285888672,16098.25
2025-01-08,2025-01-08 15:45:00+00:00,18165.75,16467.730743408203,16183.75
2025-01-08,2025-01-08 16:00:00+00:00,18419.5,16772.975952148438,16403.5
2025-01-08,2025-01-08 16:15:00+00:00,18476.5,16847.475952148438,16478.0
2025-01-08,2025-01-08 16:30:00+00:00,18512.25,16809.475952148438,16440.0
2025-01-08,2025-01-08 16:45:00+00:00,18486.25,17025.256072998047,16517.75
2025-01-08,2025-01-08 17:00:00+00:00,18302.75,16919.440887451172,16509.5
2025-01-08,2025-01-08 17:15:00+00:00,18258.75,16817.118194580078,16410.5
2025-01-08,2025-01-08 17:30:00+00:00,18267.25,16865.03549194336,16507.0
2025-01-08,2025-01-08 17:45:00+00:00,18222.75,16957.907684326172,16548.75
2025-01-08,2025-01-08 18:00:00+00:00,18013.0,16793.292572021484,16394.25
2025-01-08,2025-01-08 18:15:00+00:00,17788.0,16682.181396484375,16184.0
2025-01-08,2025-01-08 18:30:00+00:00,17614.75,16593.40252685547,16051.5
2025-01-08,2025-01-08 18:45:00+00:00,17434.5,16505.23046875,15926.0
2025-01-08,2025-01-08 19:00:00+00:00,17241.25,16147.105194091797,15678.75
2025-01-08,2025-01-08 19:15:00+00:00,16936.5,15892.076202392578,15417.25
2025-01-08,2025-01-08 19:30:00+00:00,16629.75,15668.68441772461,15191.0
2025-01-08,2025-01-08 19:45:00+00:00,16392.25,15612.676513671877,15046.5
2025-01-08,2025-01-08 20:00:00+00:00,16084.25,15187.47817993164,14820.5
2025-01-08,2025-01-08 20:15:00+00:00,15852.5,14898.672241210938,14621.0
2025-01-08,2025-01-08 20:30:00+00:00,15578.0,14722.761901855469,14425.25
2025-01-08,2025-01-08 20:45:00+00:00,15349.5,14484.796173095703,14231.5
2025-01-08,2025-01-08 21:00:00+00:00,15277.75,14268.010055541992,14067.25
2025-01-08,2025-01-08 21:15:00+00:00,15044.5,14128.097305297852,13881.25
2025-01-08,2025-01-08 21:30:00+00:00,14810.75,13874.534255981443,13654.0
2025-01-08,2025-01-08 21:45:00+00:00,14543.25,13579.799057006836,13390.25
2025-01-08,2025-01-08 22:00:00+00:00,14134.5,13230.773574829102,13091.0
2025-01-08,2025-01-08 22:15:00+00:00,13928.75,13068.498733520508,12899.0
2025-01-08,2025-01-08 22:30:00+00:00,13736.75,12883.236099243164,12704.0
2025-01-08,2025-01-08 22:45:00+00:00,13480.5,12742.412033081057,12573.0
2025-01-15,2025-01-14 23:00:00+00:00,14038.25,14153.933471679688,13596.0
2025-01-15,2025-01-14 23:15:00+00:00,13928.25,14057.52880859375,13430.25
2025-01-15,2025-01-14 23:30:00+00:00,13807.5,14098.014282226562,13454.0
2025-01-15,2025-01-14 23:45:00+00:00,13666.25,13851.172973632812,13197.5
2025-01-15,2025-01-15 00:00:00+00:00,13614.0,13717.958129882812,13109.0
2025-01-15,2025-01-15 00:15:00+00:00,13463.75,13727.602661132812,13001.5
2025-01-15,2025-01-15 00:30:00+00:00,13407.75,13508.203125,12884.0
2025-01-15,2025-01-15 00:45:00+00:00,13355.0,13705.4453125,13016.0
2025-01-15,2025-01-15 01:00:00+00:00,13363.5,13468.157958984377,12794.5
2025-01-15,2025-01-15 01:15:00+00:00,13299.25,13480.3564453125,12812.25
2025-01-15,2025-01-15 01:30:00+00:00,13235.75,13489.928100585938,12795.5
2025-01-15,2025-01-15 01:45:00+00:00,13226.5,13470.440063476562,12819.0
