issue_date,target_ts,is_holiday_or_weekend,y_true,naive,lstm_clip_p50,xgb50_p50,xgb47_p50
2026-03-01,2026-02-28 23:00:00+00:00,True,47.65,82.58,49.032806396484375,34.06053924560547,36.444854736328125
2026-03-01,2026-02-28 23:15:00+00:00,True,48.89,80.7,36.98613739013672,33.78251266479492,34.66578674316406
2026-03-01,2026-02-28 23:30:00+00:00,True,46.03,79.45,30.439788818359375,34.464195251464844,34.31653594970703
2026-03-01,2026-02-28 23:45:00+00:00,True,48.02,77.35,27.987709045410156,33.85286331176758,34.44172668457031
2026-03-01,2026-03-01 00:00:00+00:00,True,49.0,78.71,28.370132446289062,33.601741790771484,33.59160232543945
2026-03-01,2026-03-01 00:15:00+00:00,True,51.99,78.0,29.89203643798828,34.205631256103516,33.58587646484375
2026-03-01,2026-03-01 00:30:00+00:00,True,52.77,75.51,32.14555358886719,39.96364212036133,40.15361785888672
2026-03-01,2026-03-01 00:45:00+00:00,True,52.44,73.0,34.81712341308594,39.86648178100586,42.51588439941406
2026-03-01,2026-03-01 01:00:00+00:00,True,51.69,78.51,37.871063232421875,41.66823196411133,42.75110626220703
2026-03-01,2026-03-01 01:15:00+00:00,True,52.49,75.08,41.01500701904297,47.79555892944336,48.677978515625
2026-03-01,2026-03-01 01:30:00+00:00,True,55.51,73.17,43.692657470703125,49.291378021240234,50.689971923828125
2026-03-01,2026-03-01 01:45:00+00:00,True,57.3,72.15,46.25616455078125,54.0045051574707,55.978736877441406
2026-03-01,2026-03-01 02:00:00+00:00,True,53.34,74.4,48.862510681152344,55.269256591796875,54.88783645629883
2026-03-01,2026-03-01 02:15:00+00:00,True,54.58,73.01,50.98583984375,58.95246124267578,59.20119857788086
2026-03-01,2026-03-01 02:30:00+00:00,True,58.1,72.19,53.37239074707031,61.76488494873047,62.20412063598633
2026-03-01,2026-03-01 02:45:00+00:00,True,62.27,67.5,55.749671936035156,64.62610626220703,65.29000854492188
2026-03-01,2026-03-01 03:00:00+00:00,True,53.08,72.27,59.49382019042969,68.51219940185547,67.86975860595703
2026-03-01,2026-03-01 03:15:00+00:00,True,57.57,72.32,62.25537109375,70.60070037841797,70.85430145263672
2026-03-01,2026-03-01 03:30:00+00:00,True,64.38,71.45,64.55374145507812,71.3447036743164,71.6377944946289
2026-03-01,2026-03-01 03:45:00+00:00,True,69.31,71.53,66.51007080078125,73.51337432861328,72.1904296875
2026-03-01,2026-03-01 04:00:00+00:00,True,64.0,71.86,70.15005493164062,73.57513427734375,70.49024963378906
2026-03-01,2026-03-01 04:15:00+00:00,True,64.3,70.65,72.3944091796875,75.02594757080078,75.10685729980469
2026-03-01,2026-03-01 04:30:00+00:00,True,65.13,72.32,73.34808349609375,76.53260040283203,76.1129150390625
