issue_date,target_ts,y_true,naive,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90,tfm_p10,tfm_p50,tfm_p90
2026-03-01,2026-02-28 23:00:00+00:00,47.65,82.58,9.647636413574219,49.032806396484375,88.77896118164062,8.206999778747559,34.06053924560547,67.16139221191406,16.3883056640625,40.36675262451172,63.65221405029297
2026-03-01,2026-02-28 23:15:00+00:00,48.89,80.7,2.8730697631835938,36.98613739013672,73.17446899414062,8.394082069396973,33.78251266479492,63.670249938964844,15.622055053710938,38.575408935546875,62.209354400634766
2026-03-01,2026-02-28 23:30:00+00:00,46.03,79.45,0.6006240844726562,30.439788818359375,64.72889709472656,9.315045356750488,34.464195251464844,63.670249938964844,16.599624633789062,39.02940368652344,61.009002685546875
2026-03-01,2026-02-28 23:45:00+00:00,48.02,77.35,0.531524658203125,27.987709045410156,60.92387771606445,5.0648064613342285,33.85286331176758,63.670249938964844,18.028221130371094,40.529266357421875,60.656578063964844
2026-03-01,2026-03-01 00:00:00+00:00,49.0,78.71,1.1192855834960938,28.370132446289062,60.439483642578125,10.245015144348145,33.601741790771484,64.23861694335938,18.065223693847656,41.09147644042969,61.47605895996094
2026-03-01,2026-03-01 00:15:00+00:00,51.99,78.0,2.7484512329101562,29.89203643798828,61.001285552978516,10.30896282196045,34.205631256103516,63.670249938964844,18.631980895996094,42.18389892578125,63.41640090942383
2026-03-01,2026-03-01 00:30:00+00:00,52.77,75.51,4.847007751464844,32.14555358886719,62.357181549072266,8.877959251403809,39.96364212036133,65.47029113769531,18.268760681152344,42.21471405029297,64.98329162597656
2026-03-01,2026-03-01 00:45:00+00:00,52.44,73.0,7.209564208984375,34.81712341308594,64.1505355834961,10.489158630371094,39.86648178100586,65.47029113769531,18.338706970214844,42.64928436279297,66.18479919433594
2026-03-01,2026-03-01 01:00:00+00:00,51.69,78.51,9.28497314453125,37.871063232421875,66.71237182617188,13.681547164916992,41.66823196411133,65.47029113769531,17.495140075683594,41.725990295410156,65.40880584716797
2026-03-01,2026-03-01 01:15:00+00:00,52.49,75.08,11.726409912109375,41.01500701904297,69.09552001953125,15.361692428588867,47.79555892944336,68.59027099609375,19.586395263671875,44.18108367919922,66.03535461425781
2026-03-01,2026-03-01 01:30:00+00:00,55.51,73.17,13.8978271484375,43.692657470703125,71.2734146118164,15.500919342041016,49.291378021240234,70.13990783691406,22.018898010253906,47.4022216796875,67.4923095703125
2026-03-01,2026-03-01 01:45:00+00:00,57.3,72.15,16.084365844726562,46.25616455078125,73.3624496459961,19.031959533691406,54.0045051574707,71.0066146850586,23.976280212402344,50.30769348144531,69.31181335449219
2026-03-01,2026-03-01 02:00:00+00:00,53.34,74.4,18.28497314453125,48.862510681152344,76.42631530761719,20.6524715423584,55.269256591796875,72.0297622680664,23.95025634765625,50.846771240234375,70.18388366699219
2026-03-01,2026-03-01 02:15:00+00:00,54.58,73.01,19.93572998046875,50.98583984375,78.8009033203125,27.954853057861328,58.95246124267578,73.52391815185547,25.202720642089844,50.722251892089844,70.00786590576172
2026-03-01,2026-03-01 02:30:00+00:00,58.1,72.19,22.067962646484375,53.37239074707031,81.26585388183594,27.880746841430664,61.76488494873047,77.67982482910156,28.515106201171875,52.532066345214844,70.34922790527344
2026-03-01,2026-03-01 02:45:00+00:00,62.27,67.5,24.277793884277344,55.749671936035156,83.6786880493164,26.473058700561523,64.62610626220703,77.96558380126953,32.692298889160156,55.88153076171875,71.42826843261719
2026-03-01,2026-03-01 03:00:00+00:00,53.08,72.27,27.975868225097656,59.49382019042969,87.46637725830078,41.921390533447266,68.51219940185547,80.7030029296875,35.73255157470703,59.08013153076172,73.90707397460938
2026-03-01,2026-03-01 03:15:00+00:00,57.57,72.32,30.542213439941406,62.25537109375,90.34930419921875,44.11851119995117,70.60070037841797,81.693603515625,38.77796936035156,62.50816345214844,76.7059555053711
2026-03-01,2026-03-01 03:30:00+00:00,64.38,71.45,32.84576416015625,64.55374145507812,92.81997680664062,43.09836959838867,71.3447036743164,81.52015686035156,40.57508850097656,64.66166687011719,80.19316101074219
2026-03-01,2026-03-01 03:45:00+00:00,69.31,71.53,34.90232849121094,66.51007080078125,94.91838073730469,47.51572799682617,73.51337432861328,82.61783599853516,42.391151428222656,65.87721252441406,83.09329986572266
2026-03-01,2026-03-01 04:00:00+00:00,64.0,71.86,38.90449523925781,70.15005493164062,98.44976043701172,49.22597122192383,73.57513427734375,82.44392395019531,43.577308654785156,66.082275390625,84.79613494873047
2026-03-01,2026-03-01 04:15:00+00:00,64.3,70.65,41.17998504638672,72.3944091796875,100.68199920654297,55.4746208190918,75.02594757080078,83.63694763183594,47.675880432128906,67.7723388671875,85.32528686523438
2026-03-01,2026-03-01 04:30:00+00:00,65.13,72.32,42.35951232910156,73.34808349609375,101.77227020263672,64.17920684814453,76.53260040283203,88.65886688232422,51.092926025390625,68.59909057617188,85.3699951171875
2026-03-01,2026-03-01 04:45:00+00:00,67.29,74.17,43.95317077636719,74.69699096679688,103.01335144042969,70.85322570800781,80.49404907226562,98.48066711425781,55.488441467285156,71.55862426757812,87.63471984863281
2026-03-01,2026-03-01 05:00:00+00:00,60.27,69.52,47.43281555175781,77.453125,105.66939544677734,56.44283676147461,75.4334716796875,90.25422668457031,56.31072998046875,73.4477310180664,90.03410339355469
2026-03-01,2026-03-01 05:15:00+00:00,66.51,72.25,49.72059631347656,79.58172607421875,107.56202697753906,68.8639907836914,79.47865295410156,99.53741455078125,58.12432861328125,75.19230651855469,92.19546508789062
2026-03-01,2026-03-01 05:30:00+00:00,68.75,74.31,51.797401428222656,81.52349853515625,109.26036071777344,63.621437072753906,81.29953002929688,102.48622131347656,60.532508850097656,77.07746887207031,94.04852294921875
