delivery_date,load_mae_lstm_mw,price_mae_lstm_eur,load_mae_xgb_mw,price_mae_xgb_eur
2026-05-08,311.55439262310665,23.89505743344625,,
2026-05-15,432.0472433980306,31.63358536720276,,
2026-05-18,364.54965994517016,46.6370654519399,315.93634513855,24.15075231870016
2026-05-19,281.92688232421875,35.41907821973165,334.6656899960836,17.74279622554779
2026-05-20,436.32109532435726,24.956362522443133,479.16558788299545,7.798052458763121
2026-05-21,585.2656336895626,35.00915909608205,665.0182511123022,15.049954346815746
2026-05-22,334.06967222690577,26.493635559082023,601.5592311096192,14.733086180289588
2026-05-23,507.0599805641176,20.488530124028525,374.7243722369772,12.7878862891905
2026-05-24,490.33096992969513,27.24192311445872,419.038811562856,16.35343417506665
2026-05-25,640.0489294306439,37.20942379474639,569.2453088124594,15.057118039388053
2026-05-26,372.8931598536173,28.521820349693296,287.1850551064808,17.050211434550587
2026-05-27,511.45886738538746,26.21076496442159,393.9804605255399,16.94710745252669
2026-05-28,523.7024410080911,48.509275887807206,385.4920214642212,31.33466547301349
2026-05-29,647.427821243604,30.17101325670878,474.8245540929833,15.574707494974136
2026-05-30,346.67165263652805,33.13989078998566,168.53401122336592,16.68248891361058
2026-05-31,424.7646456193925,28.39568946520488,327.50623790035644,9.877472068555653
2026-06-01,336.0480246607462,62.93001864115397,342.05911929647124,45.63490533590317
2026-06-02,374.33147440910335,37.53531014919281,378.4952717649937,21.283725390434267
2026-06-05,304.0353281847636,39.54361550331116,341.7176335684458,27.1430801688383
2026-06-06,356.43145523071286,21.2331354935964,311.95654701709753,10.375321519573529
2026-06-07,524.7636084111533,20.967051774660742,566.973491936326,11.758862119782714
2026-06-08,443.4485021718344,41.46661644776663,320.88340367714574,18.18606306393941
2026-06-09,222.3788110224405,30.57241263707479,240.8539250415562,17.65732374707858
2026-06-10,176.02558885494872,34.55065519968668,258.59131646508973,18.436413321495056
2026-06-12,626.4706241226196,23.45629637718201,495.6419729433457,9.724018017450968
2026-06-13,308.10315374215446,17.118708596229553,317.6079457453884,13.23803453438605
2026-06-14,850.7776551183066,19.12718518892924,856.0169550812246,14.2224673362573
2026-06-15,343.7132025273641,30.14046792825064,467.9413003859916,22.49678876968721
2026-06-16,280.77986613591503,20.30356839815776,259.2903739420572,11.378476579984032
2026-06-17,381.15064151207616,18.235891736348467,423.8010655848187,11.084410282770792
2026-06-19,965.9318161201478,25.4136923789978,1045.2725011301045,15.524356305861536
2026-06-20,369.320987440745,25.44743519465128,542.9251792065551,14.43850091537228
2026-06-21,378.0550083891552,19.75859980424245,388.5522491371632,12.994785115011036
2026-06-22,510.07904416561126,34.743434631029764,510.1457910499473,25.208857127428058
2026-06-23,405.967608235677,72.83628128846486,551.3331637505689,61.80734527230263
2026-06-24,738.382787290414,100.84017159303028,696.0923448298869,93.0717974629253
