issue_date,oracle_pnl,naive_pnl,pnl_greedy_p50,pnl_p10p90,pnl_robust_p90p10,pnl_width_penalty,pnl_skip_wide_slots
2026-03-01,5182.8825000000015,4447.1775,4435.5775,4723.3725,3990.8475000000008,4434.925,2570.977500000001
2026-03-02,5114.485000000001,4148.6425,4830.217500000001,4775.704999999999,4798.4525,4873.335,3793.2650000000003
2026-03-03,5689.600000000001,5459.237500000001,5467.562500000001,5388.390000000001,5062.937500000004,5464.1875,2341.5125000000016
2026-03-04,9590.095000000001,9422.875000000004,9402.0575,9328.3875,9315.0125,9402.0575,3812.2400000000007
2026-03-05,7349.472500000001,7141.445,7255.9400000000005,7232.4050000000025,7241.602500000001,7266.672500000001,2769.5324999999993
2026-03-06,5827.770000000002,5672.1624999999985,5565.8724999999995,5710.960000000001,5713.799999999999,5565.8724999999995,2511.5975000000008
2026-03-07,6494.6,6303.519999999999,6348.797499999999,6229.794999999998,6324.4299999999985,6348.797499999999,1850.6924999999992
2026-03-08,6534.275000000001,6428.312500000001,6422.702500000001,6353.6050000000005,6231.025000000001,6422.702500000001,2803.4525000000012
2026-03-09,6176.699999999999,5154.595,6004.235000000001,5980.709999999999,5792.227499999999,6004.235000000001,3233.5175
2026-03-10,4404.9000000000015,4068.787500000002,4012.8375000000015,3933.4950000000026,3866.1375000000007,4012.8375000000015,2057.0425000000014
2026-03-11,5876.4375,4242.312500000002,5433.9325,5231.1625,5497.4725,5520.242499999999,4029.335
2026-03-12,6511.3325,3901.940000000001,6346.9575,6345.395,6426.830000000001,6316.785000000001,5521.950000000002
2026-03-13,8214.759999999998,2722.97,8107.039999999999,8190.572499999999,7937.714999999999,8078.464999999999,7656.097499999999
2026-03-14,1952.1350000000011,1680.192500000001,1752.4275000000016,1734.7650000000012,1754.737500000001,1748.5025000000014,905.9975000000013
2026-03-15,4305.6175,1218.6324999999997,3936.640000000001,3895.0025000000005,4011.955,4016.395,2872.5150000000003
2026-03-16,7283.074999999999,2094.775,7025.125,6959.482499999999,7026.625,7025.125,5344.172500000001
2026-03-17,3393.2149999999983,2567.29,3335.6724999999988,3233.687500000001,3155.1625000000004,3335.6724999999988,1451.5474999999988
2026-03-18,8159.057500000001,6867.64,7915.382499999999,8065.9299999999985,7915.382499999999,7915.382499999999,3750.4074999999993
2026-03-19,8143.687500000001,8004.995000000002,7965.494999999999,8021.1050000000005,8120.3075,7965.494999999999,3753.0474999999997
2026-03-20,5765.300000000001,5698.160000000002,5689.107499999999,5683.5575,5557.8425,5689.107499999999,2715.159999999999
2026-03-21,5143.855,4998.5175,5114.41,5094.834999999999,5074.105,5114.41,1824.659999999999
2026-03-22,9108.897500000001,7642.240000000001,9047.22,9085.6775,9085.6775,9047.22,7050.494999999999
2026-03-23,7382.800000000002,6729.445,7229.575000000001,7228.630000000001,7157.147499999999,7229.575000000001,3530.4100000000017
2026-03-24,6906.915000000001,5795.977500000001,6125.232500000001,6780.5325,5966.067500000001,5959.862500000001,5710.112500000001
2026-03-25,6849.4375,2968.905,6837.285,6802.45,6800.9375,6837.1849999999995,5030.974999999999
2026-03-26,7122.002499999999,5604.1900000000005,6930.6825,6944.135,6930.6825,6930.6825,6276.765
2026-03-27,4553.0975,4234.609999999999,4426.6825,4377.829999999998,4269.047499999998,4269.047499999998,2538.1224999999986
2026-03-28,6465.764999999999,5155.449999999999,6279.7625,6208.909999999999,6213.1875,6279.7625,3054.5824999999995
2026-03-29,6069.550000000001,3057.0924999999993,5901.552500000001,5674.6075,5939.51,5905.3775000000005,5106.1675
2026-03-30,6069.550000000001,3057.0924999999993,5901.552500000001,5674.6075,5939.51,5905.3775000000005,5106.1675
2026-03-31,5023.669999999999,3507.857499999999,4968.275,5002.3475,4937.99,4968.275,3869.9225000000006
2026-04-01,4527.9125,3980.1350000000048,4172.887500000005,4207.0925000000025,3711.232500000002,4172.887500000005,2294.7800000000025
2026-04-02,4750.149999999999,4198.3425,4659.070000000001,4678.374999999999,4643.2975,4683.684999999999,2398.9300000000003
2026-04-03,6051.9775,4795.642500000001,5943.87,5439.87,5944.725,5985.3725,5921.7525000000005
2026-04-04,5866.7625,500.6600000000002,5725.587500000001,5799.53,5599.0375,5725.587500000001,5643.1125
2026-04-05,5948.879999999999,5739.054999999999,5768.007499999999,5340.275,2692.56,5777.119999999999,2930.2825000000003
2026-04-06,10579.91,10375.9775,10504.5575,10554.395,8237.322499999998,10504.5575,6140.1825
2026-04-07,9531.69,8540.035000000002,9474.067500000001,9467.417500000001,9160.71,9445.2675,8053.040000000001
2026-04-08,9520.91,9472.535,9485.269999999999,9229.087500000001,9447.2225,9485.269999999999,7485.259999999998
2026-04-09,7428.6050000000005,7331.14,7325.155000000001,7257.3175,7167.7775,7325.155000000001,3974.5775
2026-04-10,5007.184999999998,3473.992500000002,4611.324999999998,4773.039999999998,4728.4749999999985,4611.324999999998,3597.9775
2026-04-11,9017.9225,-1987.9674999999993,8944.784999999998,8730.8775,8477.6675,8944.784999999998,5035.209999999998
2026-04-12,6586.634999999998,3222.23,4674.8875,5259.0525,4666.9125,4674.8875,3192.1900000000005
2026-04-13,2580.7400000000025,1449.432499999999,1835.1775000000016,1891.670000000002,1522.232500000002,1772.7875000000022,625.4200000000001
2026-04-14,3609.2974999999997,3289.345000000001,3362.4625000000015,3354.8350000000028,3156.789999999999,3362.4625000000015,822.0100000000002
2026-04-15,4519.4025,3757.2675,4459.7775,4506.7125,4457.532500000001,4459.7775,2038.050000000003
2026-04-16,4708.795,4663.522500000001,4643.935000000001,4678.8775000000005,4678.8775000000005,4643.935000000001,2215.2625000000007
2026-04-17,5297.6050000000005,5158.387499999999,5143.219999999999,5167.609999999999,5135.855,5143.219999999999,2574.960000000001
2026-04-18,6799.102500000001,6108.6449999999995,6736.8225,6649.5675,6734.280000000001,6736.8225,2828.1975
2026-04-19,6013.5725,5798.625,5807.620000000001,5778.842500000001,5863.555,5804.5825,2321.295000000001
2026-04-20,4051.2000000000003,3213.1475000000005,3928.6800000000003,3966.9799999999996,3624.9750000000004,3928.6800000000003,1637.329999999999
2026-04-21,7084.9125,6976.3175,6864.277500000001,6965.6025,6904.5825,6939.5025000000005,4806.142500000001
2026-04-22,8136.610000000001,8078.425,8015.6050000000005,8078.987500000001,8050.907499999999,8015.6050000000005,4781.085
2026-04-23,8288.202500000001,8274.635,8104.325000000001,8221.335000000001,7971.860000000001,8071.7225,4678.925
2026-04-24,8208.1425,8187.760000000001,8070.4875,8155.895,8070.462500000001,8070.4875,4795.4625000000015
2026-04-25,12088.2525,10658.8475,12058.4225,11994.945,12018.5025,12058.4225,5127.547500000001
2026-04-26,22489.420000000002,19609.432500000003,22473.8725,22454.365,22397.807500000003,22426.045000000002,8315.8975
2026-04-27,8426.8225,7515.6625,8375.297499999999,8342.38,8342.947499999998,8365.5775,3772.722499999998
2026-04-28,7503.592500000001,7370.147500000001,7411.85,7451.812500000001,7352.0,7445.352500000001,4195.525000000001
2026-04-29,9338.122500000001,9266.302500000002,9208.0025,9295.327500000001,9211.920000000002,9194.007500000002,4704.727500000001
2026-04-30,8760.725,8716.045,8688.535,8751.905000000002,8658.1025,8688.535,5671.485
