issue_date,oracle_pnl,naive_pnl,model_p50_pnl,model_band_pnl,actual_spread,pct_oracle_naive,pct_oracle_p50,pct_oracle_band
2026-03-01,5182.8825000000015,4447.1775,4435.5775,4723.3725,114.09,0.8580509976832387,0.8558128608935277,0.9113408417034341
2026-03-02,5114.485000000001,4148.6425,4830.217500000001,4775.704999999999,277.47,0.8111554731317033,0.9444191350644298,0.9337606816717614
2026-03-03,5689.600000000001,5459.237500000001,5467.562500000001,5388.390000000001,224.84,0.95951165284027,0.9609748488470191,0.9470595472440945
2026-03-04,9590.095000000001,9422.875000000004,9402.0575,9328.3875,404.24,0.9825632592794965,0.9803925300010062,0.9727106457235303
2026-03-05,7349.472500000001,7141.445,7255.9400000000005,7232.4050000000025,244.97,0.9716949073555958,0.9872735764369484,0.9840713057977973
2026-03-06,5827.770000000002,5672.1624999999985,5565.8724999999995,5710.960000000001,203.2,0.97329896341139,0.955060426200759,0.979956312620436
2026-03-07,6494.6,6303.519999999999,6348.797499999999,6229.794999999998,196.9,0.9705786345579401,0.9775501955470697,0.9592268961906811
2026-03-08,6534.275000000001,6428.312500000001,6422.702500000001,6353.6050000000005,182.25,0.9837835873145836,0.9829250375902454,0.9723504137796466
2026-03-09,6176.699999999999,5154.595,6004.235000000001,5980.709999999999,195.70000000000002,0.8345224796412326,0.9720781323360373,0.9682694642770412
2026-03-10,4404.9000000000015,4068.787500000002,4012.8375000000015,3933.4950000000026,160.25,0.9236957706190835,0.9109940066743853,0.8929816794932919
2026-03-11,5876.4375,4242.312500000002,5433.9325,5231.1625,169.17000000000002,0.7219191048998652,0.9246984248534933,0.8901928251598014
2026-03-12,6511.3325,3901.940000000001,6346.9575,6345.395,167.33,0.5992536857855133,0.9747555511871034,0.9745155849436348
2026-03-13,8214.759999999998,2722.97,8107.039999999999,8190.572499999999,194.92,0.33147286104524054,0.9868870180017433,0.9970556047894279
2026-03-14,1952.1350000000011,1680.192500000001,1752.4275000000016,1734.7650000000012,84.13999999999999,0.860694828994921,0.8976979051141446,0.8886501189723048
2026-03-15,4305.6175,1218.6324999999997,3936.640000000001,3895.0025000000005,129.34,0.2830331537810778,0.9143032329276812,0.904632726896897
2026-03-16,7283.074999999999,2094.775,7025.125,6959.482499999999,174.48999999999998,0.2876223298538049,0.9645822677921072,0.9555692478795015
2026-03-17,3393.2149999999983,2567.29,3335.6724999999988,3233.687500000001,121.16000000000001,0.7565951464908652,0.983041893897086,0.9529863271263396
2026-03-18,8159.057500000001,6867.64,7915.382499999999,8065.9299999999985,195.91,0.8417197697160487,0.9701344180991491,0.9885859978312443
2026-03-19,8143.687500000001,8004.995000000002,7965.494999999999,8021.1050000000005,240.92,0.9829693244000338,0.9781189418184327,0.9849475437263524
2026-03-20,5765.300000000001,5698.160000000002,5689.107499999999,5683.5575,181.62,0.9883544655091671,0.9867842957001367,0.9858216398105908
2026-03-21,5143.855,4998.5175,5114.41,5094.834999999999,169.71,0.9717454127303355,0.9942756940077044,0.9904701823826682
2026-03-22,9108.897500000001,7642.240000000001,9047.22,9085.6775,198.77,0.8389862768792821,0.9932288731978813,0.9974508440785506
2026-03-23,7382.800000000002,6729.445,7229.575000000001,7228.630000000001,274.11,0.9115030882591968,0.9792456791461233,0.9791176789294034
2026-03-24,6906.915000000001,5795.977500000001,6125.232500000001,6780.5325,149.04,0.8391557591196649,0.8868261010885468,0.9817020333969652
2026-03-25,6849.4375,2968.905,6837.285,6802.45,175.41,0.4334523820386711,0.99822576671442,0.9931399476234362
2026-03-26,7122.002499999999,5604.1900000000005,6930.6825,6944.135,182.05,0.7868840259463545,0.9731367687669306,0.9750256335911145
2026-03-27,4553.0975,4234.609999999999,4426.6825,4377.829999999998,147.20000000000002,0.9300503668107258,0.9722353848122075,0.9615058759448921
2026-03-28,6465.764999999999,5155.449999999999,6279.7625,6208.909999999999,156.87,0.7973457123789682,0.9712327156956679,0.9602746156100631
2026-03-29,6069.550000000001,3057.0924999999993,5901.552500000001,5674.6075,128.69,0.5036769612244728,0.9723212594014383,0.934930513794268
2026-03-30,6069.550000000001,3057.0924999999993,5901.552500000001,5674.6075,128.69,0.5036769612244728,0.9723212594014383,0.934930513794268
2026-03-31,5023.669999999999,3507.857499999999,4968.275,5002.3475,163.33,0.6982659091859138,0.9889732008670953,0.995755593022631
