issue_date,da_mae_model,da_mae_naive,id_mae_model,id_mae_naive,da_coverage,id_coverage,da_oracle_pnl,da_naive_pnl,da_model_pnl,id_oracle_pnl,id_naive_pnl,id_model_pnl
2026-03-01,13.95206865598758,11.038229166666667,13.616277825037637,26.906666666666666,0.7916666666666666,0.8958333333333334,5182.8825000000015,4447.1775,4435.5775,4392.902499999999,1098.3524999999995,3611.6025
2026-03-02,14.693486056327819,39.93072916666667,15.442192056973774,41.79083333333333,0.8854166666666666,0.875,5114.485000000001,4148.6425,4830.217500000001,3866.095,2734.169999999999,3377.9249999999993
2026-03-03,15.770069664319356,17.244270833333335,12.643526099522909,18.1778125,0.90625,0.96875,5689.600000000001,5459.237500000001,5467.562500000001,4700.652500000001,3371.0274999999992,4444.972500000002
2026-03-04,46.73086847146353,41.495,51.3982232316335,49.931041666666665,0.3333333333333333,0.4166666666666667,9590.095000000001,9422.875000000004,9402.0575,10179.947500000002,9954.830000000002,9942.572500000002
2026-03-05,26.996669176419573,36.93208333333333,30.57794177134832,37.213229166666665,0.34375,0.375,7349.472500000001,7141.445,7255.9400000000005,5302.385000000001,5127.522500000001,5142.050000000001
2026-03-06,17.968866120974223,16.563645833333332,20.787208280563352,10.963333333333333,0.84375,0.8645833333333334,5827.770000000002,5672.1624999999985,5565.8724999999995,5576.900000000002,5463.817500000001,5293.6375
2026-03-07,17.372620269060132,23.870104166666664,25.98242758234342,18.8053125,0.65625,0.5208333333333334,6494.6,6303.519999999999,6348.797499999999,4081.8449999999993,3902.6624999999985,3762.5699999999997
2026-03-08,20.061958999335765,9.171354166666667,33.43681463837624,9.151979166666667,0.4270833333333333,0.25,6534.275000000001,6428.312500000001,6422.702500000001,3178.0250000000005,3069.487500000001,2796.1224999999995
2026-03-09,22.614449364344278,41.3721875,31.123702541987104,31.569375000000004,0.7395833333333334,0.6458333333333334,6176.699999999999,5154.595,6004.235000000001,6308.335000000003,5173.830000000001,6149.189999999999
2026-03-10,23.804669968287154,17.541875,31.01491027196248,20.67697916666667,0.4895833333333333,0.4583333333333333,4404.9000000000015,4068.787500000002,4012.8375000000015,3911.0125,3547.630000000002,3437.59
2026-03-11,14.615039070211353,61.302083333333336,14.316065758864085,65.02416666666666,0.84375,0.9479166666666666,5876.4375,4242.312500000002,5433.9325,4518.390000000001,2875.8000000000006,3921.999999999999
2026-03-12,8.180301590170712,37.67625,16.952158344586692,35.69135416666666,0.9895833333333334,0.9270833333333334,6511.3325,3901.940000000001,6346.9575,4822.380000000002,2136.995000000001,4338.5475
2026-03-13,11.335023346642652,63.49687499999999,19.194614976644516,56.51510416666667,0.6354166666666666,0.9166666666666666,8214.759999999998,2722.97,8107.039999999999,7164.0149999999985,1324.17,7059.5025
2026-03-14,10.728026688893637,73.03541666666666,15.745409927368163,74.67583333333333,0.9375,0.7916666666666666,1952.1350000000011,1680.192500000001,1752.4275000000016,1944.4350000000004,1714.8825000000006,1733.312500000001
2026-03-15,11.23003390312195,32.471666666666664,10.15523839155833,36.26291666666666,0.7708333333333334,0.8541666666666666,4305.6175,1218.6324999999997,3936.640000000001,4054.737499999998,438.9624999999987,3784.2524999999987
2026-03-16,13.4737484784921,48.76145833333334,13.535016189018885,52.218020833333334,0.8958333333333334,0.9479166666666666,7283.074999999999,2094.775,7025.125,7221.040000000001,527.1325000000011,6912.539999999999
2026-03-17,10.692539723714193,55.85927083333333,12.877437035242716,53.16385416666666,0.8125,0.9375,3393.2149999999983,2567.29,3335.6724999999988,2749.182500000001,1573.2800000000007,2244.845000000001
2026-03-18,13.431282750765483,40.107708333333335,23.808480620384216,37.979166666666664,0.6875,0.6041666666666666,8159.057500000001,6867.64,7915.382499999999,7957.532500000001,6698.6175,7667.395
2026-03-19,17.054298793474832,24.99666666666667,19.54456734498342,25.528229166666666,0.6458333333333334,0.8125,8143.687500000001,8004.995000000002,7965.494999999999,7597.2750000000015,7475.817500000003,7428.140000000001
2026-03-20,24.5900475581487,29.692291666666666,30.38516679763794,28.453437499999996,0.28125,0.2604166666666667,5765.300000000001,5698.160000000002,5689.107499999999,5733.7775,5666.637500000001,5489.469999999999
2026-03-21,12.67758919874827,29.086979166666666,18.830532636642456,28.935,0.5729166666666666,0.5104166666666666,5143.855,4998.5175,5114.41,5143.764999999999,4998.449999999999,5006.7474999999995
2026-03-22,10.346452294196935,42.517604166666665,17.072507287661235,40.25989583333333,0.6979166666666666,0.7708333333333334,9108.897500000001,7642.240000000001,9047.22,8656.3,7310.9175,8588.8
2026-03-23,20.45666396458944,58.95395833333333,24.887998582522073,54.7225,0.6145833333333334,0.65625,7382.800000000002,6729.445,7229.575000000001,7052.635000000001,6339.272500000001,6747.940000000002
2026-03-24,19.054977989060188,66.19999999999999,20.708073225816094,65.10677083333333,0.84375,0.8333333333333334,6906.915000000001,5795.977500000001,6125.232500000001,6410.735000000001,5195.82,5480.687499999999
2026-03-25,12.38690994175772,57.16510416666667,15.578744801680246,53.61447916666666,0.875,1.0,6849.4375,2968.905,6837.285,3589.245000000001,2051.5850000000005,3422.142500000001
2026-03-26,28.83996899380038,54.0234375,22.054303471247355,47.473333333333336,0.4270833333333333,0.8333333333333334,7122.002499999999,5604.1900000000005,6930.6825,6516.755,4574.865000000002,5808.5875000000015
2026-03-27,12.972915999094644,31.398020833333337,23.757487200101213,50.89812499999999,0.9270833333333334,0.7916666666666666,4553.0975,4234.609999999999,4426.6825,3926.0449999999983,2223.0950000000003,3570.9125000000004
2026-03-28,18.73264799118042,40.876250000000006,19.921645387013754,41.55197916666666,0.6666666666666666,0.71875,6465.764999999999,5155.449999999999,6279.7625,6356.25,4460.5075,6279.85
2026-03-29,8.850442478287343,35.34375,10.782187081774076,36.98322916666667,0.9479166666666666,0.8333333333333334,6069.550000000001,3057.0924999999993,5901.552500000001,5904.335,2434.5699999999997,5379.442499999998
2026-03-30,8.850442478287343,35.34375,10.782187081774076,36.98322916666667,0.9479166666666666,0.8333333333333334,6069.550000000001,3057.0924999999993,5901.552500000001,5904.335,2434.5699999999997,5379.442499999998
2026-03-31,35.874669678409894,59.3871875,39.66346638083458,55.17114583333333,0.14583333333333334,0.2916666666666667,5023.669999999999,3507.857499999999,4968.275,4754.699999999999,3522.462499999998,4601.525
2026-04-01,21.046945527394612,28.695520833333333,27.45458725770315,32.941875,0.4270833333333333,0.4270833333333333,4527.9125,3980.1350000000048,4172.887500000005,3789.010000000002,2082.917500000003,3144.547500000005
2026-04-02,6.555324109395344,30.331041666666668,8.852079997062685,33.098958333333336,0.9375,0.9270833333333334,4750.149999999999,4198.3425,4659.070000000001,3417.3949999999995,2813.665,3281.5325000000003
2026-04-03,9.84212292936941,33.7640625,13.711535437107088,26.404791666666668,0.90625,0.8958333333333334,6051.9775,4795.642500000001,5943.87,5130.395,4353.192499999999,4979.797499999999
2026-04-04,10.257780265246206,63.74281250000001,9.673436371485392,56.42229166666667,0.8645833333333334,0.9479166666666666,5866.7625,500.6600000000002,5725.587500000001,5099.945000000001,625.9825000000001,4842.195000000001
2026-04-05,18.754938654912014,49.41552083333334,11.448814989527065,29.977291666666662,0.7083333333333334,0.9375,5948.879999999999,5739.054999999999,5762.269999999999,2272.535,2098.1025,2040.955
2026-04-06,20.803278952216107,25.0446875,10.618323309024175,23.00458333333333,0.4895833333333333,0.7395833333333334,10579.91,10375.9775,10504.5575,5584.58,5434.5125,5523.5525
2026-04-07,18.54768129942318,86.85281250000001,18.49145591408014,66.36270833333333,0.7916666666666666,0.8541666666666666,9531.69,8540.035000000002,9474.067500000001,8498.09,7675.4574999999995,8429.455
2026-04-08,17.05139466074606,11.350520833333334,19.705142864187557,16.41270833333333,0.8958333333333334,0.9583333333333334,9520.91,9472.535,9485.269999999999,6383.107499999998,6260.6624999999985,6184.0225
2026-04-09,11.772756297638018,13.949270833333335,17.278062437276045,23.618958333333335,0.8958333333333334,0.7916666666666666,7428.6050000000005,7331.14,7325.155000000001,6491.9825,6103.5875000000015,6245.252500000001
2026-04-10,24.913443148930867,54.071770833333325,27.686968658765156,60.435,0.5520833333333334,0.6458333333333334,5007.184999999998,3473.992500000002,4611.324999999998,5693.325000000001,2346.402500000001,5002.094999999999
